Year,Winner,Author,Title,Publisher,Chair,Judges
2019,1,Margaret Atwood,The Testaments,"Vintage, Chatto & Windus",Peter Florence,"Afua Hirsch, Liz Calder, Xiaolu Guo, Joanna MacGregor"
2019,1,Bernardine Evaristo,"Girl, Woman, Other",Hamish Hamilton,,
2019,0,Lucy Ellmann,"Ducks, Newburyport",Galley Beggar Press,,
2019,0,Chigozie Obioma,An Orchestra of Minorities,"Little, Brown",,
2019,0,Salman Rushdie,Quichotte,Jonathan Cape,,
2019,0,Elif Shafak,10 Minutes 38 Seconds in This Strange World,Viking,,
2020,1,Douglas Stuart,Shuggie Bain,"Picador, Pan Macmillan",Margaret Busby,"Lee Child, Lemn Sissay, Sameer Rahim, Emily Wilson"
2020,0,Diane Cook,The New Wilderness,Oneworld Publications,,
2020,0,Tsitsi Dangarembga,This Mournable Body,Faber & Faber,,
2020,0,Avni Doshi,Burnt Sugar,"Hamish Hamilton, Penguin Random House",,
2020,0,Maaza Mengiste,The Shadow King,Canongate Books,,
2020,0,Brandon Taylor,Real Life,"Originals, Daunt Books Publishing",,
2021,0,Anuk Arudpragasam,A Passage North,Granta Books,Maya Jasanoff,"Horatia Harrod, Natascha McElhone, Chigozie Obioma, Rowan Williams"
2021,0,Damon Galgut,The Promise,Jonathan Cape,,
2021,0,Patricia Lockwood,No One Is Talking About This,Bloomsbury Publishing/Bloomsbury Circus,,
2021,0,Nadifa Mohamed,The Fortune Men,Viking / Penguin General / PRH,,
2021,0,Richard Powers,Bewilderment,Hutchinson Heinemann,,
2021,0,Maggie Shipstead,Great Circle,Doubleday/Transworld Publishers,,
